,height,number,rate
0,0,829159005.0,0.8434641571044922
1,1,0.0,0.0
2,2,0.0,0.0
3,3,5619.0,5.7159423828125e-06
4,4,4434.0,4.510498046875e-06
5,5,306615.0,0.0003119049072265625
6,6,1501384.0,0.0015272867838541666
7,7,2658146.0,0.0027040059407552083
8,8,5189726.0,0.005279262288411459
9,9,10928262.0,0.011116802978515625
10,10,20486072.0,0.020839510091145833
11,11,22057870.0,0.022438425699869792
12,12,20058649.0,0.020404712931315103
13,13,16004785.0,0.016280909220377605
14,14,12974719.0,0.01319856669108073
15,15,9689854.0,0.009857029215494792
16,16,6859159.0,0.006977497355143229
17,17,5051674.0,0.005138828531901041
18,18,3718083.0,0.0037822296142578124
19,19,2642778.0,0.002688372802734375
20,20,2040976.0,0.0020761881510416667
21,21,1579822.0,0.0016070780436197917
22,22,1209921.0,0.0012307952880859375
23,23,925922.0,0.0009418965657552083
24,24,705513.0,0.0007176849365234375
25,25,634527.0,0.0006454742431640625
26,26,540077.0,0.0005493947347005208
27,27,382876.0,0.0003894816080729167
28,28,374231.0,0.00038068745930989583
29,29,336534.0,0.000342340087890625
30,30,292121.0,0.00029716084798177083
31,31,246916.0,0.0002511759440104167
32,32,253603.0,0.00025797831217447915
33,33,203658.0,0.000207171630859375
34,34,235062.0,0.000239117431640625
35,35,183237.0,0.0001863983154296875
36,36,143083.0,0.00014555155436197918
37,37,123129.0,0.0001252532958984375
38,38,135300.0,0.00013763427734375
39,39,141093.0,0.0001435272216796875
40,40,128866.0,0.00013108927408854166
41,41,112217.0,0.00011415303548177083
42,42,128191.0,0.00013040262858072916
43,43,89780.0,9.132893880208333e-05
44,44,122250.0,0.000124359130859375
45,45,110206.0,0.00011210734049479167
46,46,86266.0,8.775431315104166e-05
47,47,130797.0,0.0001330535888671875
48,48,69599.0,7.079976399739584e-05
49,49,99351.0,0.0001010650634765625
50,50,71288.0,7.251790364583333e-05
51,51,63440.0,6.453450520833333e-05
52,52,45443.0,4.622701009114583e-05
53,53,74202.0,7.5482177734375e-05
54,54,68917.0,7.010599772135416e-05
55,55,54830.0,5.5775960286458337e-05
56,56,45785.0,4.6574910481770833e-05
57,57,60085.0,6.112162272135416e-05
58,58,63757.0,6.485697428385417e-05
59,59,41273.0,4.198506673177083e-05
60,60,59273.0,6.0295613606770833e-05
61,61,33581.0,3.416035970052083e-05
62,62,47740.0,4.8563639322916665e-05
63,63,38328.0,3.89892578125e-05
64,64,43963.0,4.472147623697917e-05
65,65,36812.0,3.7447102864583336e-05
66,66,33395.0,3.397115071614583e-05
67,67,26842.0,2.7305094401041668e-05
68,68,36201.0,3.68255615234375e-05
69,69,27290.0,2.7760823567708332e-05
70,70,36021.0,3.66424560546875e-05
71,71,37056.0,3.76953125e-05
72,72,27003.0,2.74688720703125e-05
73,73,23854.0,2.4265543619791667e-05
74,74,14681.0,1.4934285481770833e-05
75,75,24783.0,2.52105712890625e-05
76,76,18081.0,1.83929443359375e-05
77,77,25078.0,2.5510660807291666e-05
78,78,18580.0,1.8900553385416665e-05
79,79,18429.0,1.87469482421875e-05
80,80,11509.0,1.1707560221354166e-05
81,81,28868.0,2.9366048177083335e-05
82,82,10303.0,1.0480753580729166e-05
83,83,11097.0,1.12884521484375e-05
84,84,36081.0,3.67034912109375e-05
85,85,26269.0,2.6722208658854168e-05
86,86,13380.0,1.361083984375e-05
87,87,12995.0,1.3219197591145833e-05
88,88,11285.0,1.1479695638020833e-05
89,89,13189.0,1.3416544596354166e-05
90,90,19999.0,2.0344034830729166e-05
91,91,18599.0,1.8919881184895833e-05
92,92,16602.0,1.6888427734375e-05
93,93,8956.0,9.110514322916666e-06
94,94,8172.0,8.31298828125e-06
95,95,12297.0,1.25091552734375e-05
96,96,5829.0,5.9295654296875e-06
97,97,9881.0,1.0051472981770833e-05
98,98,26416.0,2.6871744791666665e-05
99,99,5976.0,6.0791015625e-06
100,100,8852.0,9.004720052083333e-06
101,101,7075.0,7.197062174479167e-06
102,102,8542.0,8.689371744791667e-06
103,103,6913.0,7.032267252604166e-06
104,104,14161.0,1.4405314127604167e-05
105,105,7503.0,7.6324462890625e-06
106,106,4058.0,4.1280110677083336e-06
107,107,3595.0,3.6570231119791667e-06
108,108,8854.0,9.006754557291667e-06
109,109,4924.0,5.0089518229166664e-06
110,110,10339.0,1.0517374674479167e-05
111,111,12969.0,1.31927490234375e-05
112,112,7910.0,8.046468098958333e-06
113,113,6687.0,6.8023681640625e-06
114,114,4111.0,4.181925455729167e-06
115,115,15006.0,1.5264892578125e-05
116,116,3728.0,3.7923177083333333e-06
117,117,7858.0,7.993570963541667e-06
118,118,2716.0,2.7628580729166665e-06
119,119,2805.0,2.8533935546875e-06
120,120,6369.0,6.4788818359375e-06
121,121,6442.0,6.553141276041667e-06
122,122,2924.0,2.974446614583333e-06
123,123,4066.0,4.136149088541667e-06
124,124,4790.0,4.872639973958334e-06
125,125,5608.0,5.704752604166667e-06
126,126,10166.0,1.0341389973958333e-05
127,127,7116.0,7.23876953125e-06
128,128,5336.0,5.4280598958333335e-06
129,129,4734.0,4.815673828125e-06
130,130,7272.0,7.3974609375e-06
131,131,9722.0,9.889729817708333e-06
132,132,4090.0,4.160563151041667e-06
133,133,3223.0,3.278605143229167e-06
134,134,3805.0,3.8706461588541664e-06
135,135,8164.0,8.304850260416667e-06
136,136,7932.0,8.06884765625e-06
137,137,15328.0,1.5592447916666667e-05
138,138,7299.0,7.4249267578125e-06
139,139,3380.0,3.4383138020833333e-06
140,140,7243.0,7.367960611979167e-06
141,141,1455.0,1.4801025390625e-06
142,142,1565.0,1.5920003255208333e-06
143,143,4132.0,4.203287760416667e-06
144,144,4773.0,4.8553466796875e-06
145,145,4087.0,4.157511393229167e-06
146,146,1594.0,1.6215006510416666e-06
147,147,3866.0,3.932698567708333e-06
148,148,244.0,2.4820963541666665e-07
149,149,1279.0,1.3010660807291667e-06
150,150,2285.0,2.324422200520833e-06
151,151,1771.0,1.8015543619791667e-06
152,152,3094.0,3.1473795572916665e-06
153,153,2706.0,2.752685546875e-06
154,154,2355.0,2.3956298828125e-06
155,155,4350.0,4.425048828125e-06
156,156,1718.0,1.7476399739583333e-06
157,157,3490.0,3.5502115885416666e-06
158,158,3568.0,3.6295572916666667e-06
159,159,4097.0,4.167683919270833e-06
160,160,4114.0,4.1849772135416665e-06
161,161,2370.0,2.410888671875e-06
162,162,363.0,3.692626953125e-07
163,163,1794.0,1.824951171875e-06
164,164,4540.0,4.618326822916666e-06
165,165,4162.0,4.233805338541666e-06
166,166,1754.0,1.7842610677083333e-06
167,167,1436.0,1.4607747395833334e-06
168,168,1632.0,1.66015625e-06
169,169,675.0,6.866455078125e-07
170,170,1709.0,1.7384847005208333e-06
171,171,2099.0,2.1352132161458332e-06
172,172,146.0,1.4851888020833333e-07
173,173,6015.0,6.1187744140625e-06
174,174,489.0,4.974365234375e-07
175,175,3854.0,3.9204915364583335e-06
176,176,0.0,0.0
177,177,2058.0,2.093505859375e-06
178,178,1695.0,1.7242431640625e-06
179,179,3425.0,3.4840901692708333e-06
180,180,307.0,3.122965494791667e-07
181,181,996.0,1.01318359375e-06
182,182,542.0,5.513509114583334e-07
183,183,467.0,4.750569661458333e-07
184,184,2001.0,2.0355224609375e-06
185,185,1591.0,1.6184488932291667e-06
186,186,512.0,5.208333333333334e-07
187,187,854.0,8.687337239583334e-07
188,188,967.0,9.836832682291667e-07
189,189,1045.0,1.0630289713541667e-06
190,190,1117.0,1.1362711588541667e-06
191,191,2.0,2.0345052083333334e-09
192,192,2198.0,2.235921223958333e-06
193,193,2286.0,2.325439453125e-06
194,194,0.0,0.0
195,195,731.0,7.436116536458333e-07
196,196,1402.0,1.4261881510416667e-06
197,197,0.0,0.0
198,198,990.0,1.007080078125e-06
199,199,0.0,0.0
200,200,705.0,7.171630859375e-07
201,201,1832.0,1.8636067708333333e-06
202,202,1025.0,1.0426839192708333e-06
203,203,753.0,7.659912109375e-07
204,204,283.0,2.8788248697916667e-07
205,205,1315.0,1.3376871744791667e-06
206,206,1429.0,1.4536539713541667e-06
207,207,370.0,3.7638346354166667e-07
208,208,1923.0,1.9561767578125e-06
209,209,136.0,1.3834635416666668e-07
210,210,0.0,0.0
211,211,185.0,1.8819173177083333e-07
212,212,119.0,1.2105305989583334e-07
213,213,278.0,2.827962239583333e-07
214,214,0.0,0.0
215,215,309.0,3.143310546875e-07
216,216,520.0,5.289713541666666e-07
217,217,1087.0,1.1057535807291666e-06
218,218,1105.0,1.1240641276041667e-06
219,219,0.0,0.0
220,220,1920.0,1.953125e-06
221,221,401.0,4.0791829427083335e-07
222,222,0.0,0.0
223,223,989.0,1.0060628255208333e-06
224,224,1883.0,1.9154866536458333e-06
225,225,0.0,0.0
226,226,2181.0,2.2186279296875e-06
227,227,0.0,0.0
228,228,7175.0,7.298787434895833e-06
229,229,1439.0,1.4638264973958333e-06
230,230,1810.0,1.8412272135416667e-06
231,231,1206.0,1.226806640625e-06
232,232,11437.0,1.1634318033854166e-05
233,233,0.0,0.0
234,234,0.0,0.0
235,235,1023.0,1.0406494140625e-06
236,236,0.0,0.0
237,237,930.0,9.46044921875e-07
238,238,0.0,0.0
239,239,821.0,8.351643880208334e-07
240,240,180.0,1.8310546875e-07
241,241,0.0,0.0
242,242,555.0,5.645751953125e-07
243,243,0.0,0.0
244,244,0.0,0.0
245,245,0.0,0.0
246,246,706.0,7.181803385416667e-07
247,247,1134.0,1.153564453125e-06
248,248,0.0,0.0
249,249,0.0,0.0
250,250,1136.0,1.1555989583333333e-06
251,251,0.0,0.0
252,252,192.0,1.953125e-07
253,253,0.0,0.0
254,254,387.0,3.936767578125e-07
255,255,5067.0,5.1544189453125e-06
